,ExcludedNodes
1169,55676
1170,55677
1171,55678
1172,55679
1173,56876
1174,56877
1175,56878
1176,56879
1177,56938
1178,56939
1179,56940
1180,56941
1181,56942
1182,56943
1183,55557
1184,55558
1185,55559
1186,55560
1187,55561
1188,55562
1189,55563
1190,55564
1191,55565
1192,55566
1193,55567
1194,55568
1195,55673
1196,63048
1197,63049
1198,63050
1199,63266
1200,63268
1201,63269
1202,63270
1203,63465
1204,63466
1205,63530
1206,63539
1207,63540
1208,63531
1209,63532
1210,63533
1211,63534
1212,63535
1213,63536
1214,63537
1215,63538
1216,62791
1217,62792
1218,56125
1219,56126
1220,57888
1221,57889
1222,57890
1223,57891
1224,57892
1225,57893
1226,57894
1227,57895
1228,57896
1229,57897
1230,57903
1231,57904
1232,57905
1233,57906
1234,57907
1235,57908
1236,57909
1237,58397
1238,58398
1239,58400
1240,58401
1241,55667
1242,55668
1243,55669
1244,55670
1245,56753
1246,56754
1247,56755
1248,56756
1249,56757
1250,56758
1251,56874
1252,56875
1253,57448
1254,57449
1255,57450
1256,57458
1257,57459
1258,57431
1259,57460
1260,57461
1261,57462
1262,57463
1263,57464
1264,57465
1265,57466
1266,57433
1267,57820
1268,57821
1269,57822
1270,57827
1271,58088
1272,58089
1273,58096
1274,58097
1275,58098
1276,58099
1277,58100
1278,58101
1279,58102
1280,58104
1281,58105
1282,58106
1283,58107
1284,58108
1285,58109
1286,58110
1287,64544
1288,57442
1289,57443
1290,57467
1291,57468
1292,57469
1293,57470
1294,57471
1295,57472
1296,55809
1297,55810
1298,55811
1299,55812
1300,55813
1301,56721
1302,56722
1303,56723
1304,56724
1305,56725
1306,56726
1307,56998
1308,56999
1309,57000
1310,57001
1311,57002
1312,57003
1313,57004
1314,53481
1315,53482
1316,53483
1317,53484
1318,55122
1319,55123
1320,55125
1321,54223
1322,54224
1323,54225
1324,54226
1325,62513
1326,57346
1327,57347
1328,58158
1329,58159
1330,58160
1331,58161
1332,58162
1333,58163
1334,58164
1335,58165
1336,57022
1337,57023
1338,57024
1339,58545
1340,58546
1341,58568
1342,58569
1343,58570
1344,58571
1345,58572
1346,58573
1347,57290
1348,57291
1349,57292
1350,62049
1351,62050
1352,58175
1353,55395
1354,55396
1355,55397
1356,55398
1357,55399
1358,55400
1359,55401
1360,55402
1361,55403
1362,55404
1363,55405
1364,55406
1365,55407
1366,55408
1367,55409
1368,55410
1369,56838
1370,56839
1371,56840
1372,58176
1373,57931
1374,57932
1375,57933
1376,57934
1377,57935
1378,55887
1379,56005
1380,55411
1381,55412
1382,56831
1383,56832
1384,56833
1385,56834
1386,56835
1387,57012
1388,57020
1389,57013
1390,57014
1391,57015
1392,57016
1393,57018
1394,57019
1395,56985
1396,56986
1397,56987
1398,56988
1399,56989
1400,56990
1401,55579
1402,55580
1403,55581
1404,55582
1405,56257
1406,56258
1407,56259
1408,56260
1409,56261
1410,56262
1411,56263
1412,57113
1413,57114
1414,57115
1415,57116
1416,57117
1417,57118
1418,57119
1419,52887
1420,54733
1421,54734
1422,54735
1423,58166
1424,56236
1425,56237
1426,56238
1427,64548
1428,64549
1429,57226
1430,57227
1431,57228
1432,57229
1433,57230
1434,57473
1435,57474
1436,57475
1437,57476
1438,57477
1439,55697
1440,64335
1441,64336
1442,64337
1443,64338
1444,55583
1445,55584
1446,55585
1447,55586
1448,55587
1449,55588
1450,55589
1451,55590
1452,55591
1453,55592
1454,57857
1455,57862
1456,57295
1457,57296
1458,57297
1459,57842
1460,57845
1461,57846
1462,57669
1463,55910
1464,56008
1465,56009
1466,56010
1467,57956
1468,57957
1469,57958
1470,57959
1471,57960
1472,57120
1473,57121
1474,57478
1475,57479
1476,57480
1477,57481
1478,57482
1479,57483
1480,57484
1481,57485
1482,57486
1483,57487
1484,57488
1485,57489
1486,57490
1487,57491
1488,55731
1489,55732
1490,55733
1491,55734
1492,55735
1493,55736
1494,56128
1495,57160
1496,57161
1497,55874
1498,55875
1499,55876
1500,55877
1501,55593
1502,55594
1503,55595
1504,55596
1505,55597
1506,53193
1507,55830
1508,55831
1509,56187
1510,56188
1511,56189
1512,56190
1513,56191
1514,53758
1515,53759
1516,62629
1517,62630
1518,62631
1519,62632
1520,63519
1521,63528
1522,63529
1523,63520
1524,63521
1525,63522
1526,63523
1527,63524
1528,63525
1529,63526
1530,57253
1531,57254
1532,56056
1533,56057
1534,56058
1535,56059
1536,56774
1537,56775
1538,56776
1539,56777
1540,56778
1541,56779
1542,56793
1543,56794
1544,56795
1545,56796
1546,56797
1547,56798
1548,56836
1549,56837
1550,56106
1551,56107
1552,56108
1553,55814
1554,55815
1555,55816
1556,55817
1557,56897
1558,56906
1559,56907
1560,56898
1561,56899
1562,56900
1563,56901
1564,56902
1565,56903
1566,56904
1567,56905
1568,55772
1569,55773
1570,55774
1571,55775
1572,55776
1573,55777
1574,55778
1575,55779
1576,55450
1577,55451
1578,55452
1579,55453
1580,57348
1581,57349
1582,58416
1583,58417
1584,58418
1585,58419
1586,58967
1587,58971
1588,58972
1589,57963
1590,57964
1591,55454
1592,55455
1593,58069
1594,58070
1595,58071
1596,58072
1597,58073
1598,58471
1599,58472
1600,58473
1601,58474
1602,58529
1603,58530
1604,58531
1605,58532
1606,58533
1607,58547
1608,58548
1609,58549
1610,58550
1611,58551
1612,58186
1613,58187
1614,58188
1615,58189
1616,58190
1617,58191
1618,56264
1619,56265
1620,56266
1621,58053
1622,58054
1623,58055
1624,58056
1625,58057
1626,58058
1627,58059
1628,58060
1629,57570
1630,62940
1631,62941
1632,62942
1633,62943
1634,62944
1635,62945
1636,62946
1637,62514
1638,57977
1639,57978
1640,31990
1641,56239
1642,56240
1643,56856
1644,56857
1645,56858
1646,56859
1647,56860
1648,56861
1649,56862
1650,58029
1651,55680
1652,55681
1653,55423
1654,55424
1655,55425
1656,55426
1657,55427
1658,55428
1659,55429
1660,55430
1661,55431
1662,55432
1663,55433
1664,55434
1665,56863
1666,56864
1667,56865
1668,56866
1669,56867
1670,58167
1671,58168
1672,58169
1673,58170
1674,57965
1675,57966
1676,52874
1677,52875
1678,56109
1679,56110
1680,56111
1681,56112
1682,56113
1683,56114
1684,56115
1685,56116
1686,56117
1687,56734
1688,56735
1689,56736
1690,56737
1691,56738
1692,56739
1693,57076
1694,57077
1695,57078
1696,57079
1697,57080
1698,57081
1699,57082
1700,57083
1701,57084
1702,57085
1703,56078
1704,56852
1705,56853
1706,56854
1707,56855
1708,56973
1709,56974
1710,56975
1711,56976
1712,56977
1713,56978
1714,56991
1715,56992
1716,56993
1717,56994
1718,56995
1719,56996
1720,56997
1721,55569
1722,55570
1723,55571
1724,55572
1725,55573
1726,55574
1727,55575
1728,55576
1729,53486
1730,53487
1731,53485
1732,52246
1733,52247
1734,52248
1735,62729
1736,63450
1737,52249
1738,52250
1739,52251
1740,57674
1741,57675
1742,62366
1743,62367
1744,53194
1745,53195
1746,53196
1747,53197
1748,53198
1749,53199
1750,53200
1751,53201
1752,55083
1753,55084
1754,55085
1755,55086
1756,55087
1757,57967
1758,57968
1759,57969
1760,57970
1761,57971
1762,57972
1763,57973
1764,57974
1765,57975
1766,55780
1767,55781
1768,55782
1769,55783
1770,55888
1771,55889
1772,55890
1773,55891
1774,62022
1775,62023
1776,62743
1777,62744
1778,62745
1779,62746
1780,62747
1781,62748
1782,62749
1783,62750
1784,63160
1785,63161
1786,63162
1787,63163
1788,63164
1789,63165
1790,52252
1791,45180
1792,45181
1793,55520
1794,55521
1795,55522
1796,55523
1797,55524
1798,55525
1799,55526
1800,55527
1801,55528
1802,57508
1803,57995
1804,57996
1805,57997
1806,57998
1807,57999
1808,58000
1809,58001
1810,58002
1811,58003
1812,58004
1813,58005
1814,58006
1815,58007
1816,58008
1817,58009
1818,58179
1819,58180
1820,58181
1821,58182
1822,58183
1823,58184
1824,58185
1825,58391
1826,58392
1827,58393
1828,58394
1829,55577
1830,55578
1831,57350
1832,56127
1833,55832
1834,55833
1835,55834
1836,55835
1837,52942
1838,52943
1839,52944
1840,56193
1841,56194
1842,56195
1843,56196
1844,56197
1845,56129
1846,56130
1847,56780
1848,56781
1849,56782
1850,56783
1851,56785
1852,56787
1853,56180
1854,56181
1855,56182
1856,56183
1857,56184
1858,56185
1859,56186
1860,58030
1861,58031
1862,58192
1863,57370
1864,57371
1865,57372
1866,57373
1867,57374
1868,57375
1869,58010
1870,58011
1871,57270
1872,57271
1873,55784
1874,55785
1875,55786
1876,62762
1877,62763
1878,56274
1879,56275
1880,56276
1881,56277
1882,56278
1883,56279
1884,56280
1885,56281
1886,56282
1887,56283
1888,56284
1889,56267
1890,56268
1891,56269
1892,56270
1893,56271
1894,56272
1895,56273
1896,57863
1897,57864
1898,57865
1899,57866
1900,57867
1901,57868
1902,57869
1903,57936
1904,57937
1905,57938
1906,57939
1907,57940
1908,57941
1909,58244
1910,58245
1911,58246
1912,58247
1913,58248
1914,62765
1915,62766
1916,62767
1917,62768
1918,62769
1919,62811
1920,62812
1921,62847
1922,62848
1923,62849
1924,62850
1925,62871
1926,62872
1927,62873
1928,62874
1929,62875
1930,62990
1931,63232
1932,63233
1933,63234
1934,63235
1935,63236
1936,63237
1937,63238
1938,55638
1939,55639
1940,57676
1941,57677
1942,62453
1943,62454
1944,57122
1945,57123
1946,57124
1947,57492
1948,55598
1949,55599
1950,57162
1951,57163
1952,57164
1953,57165
1954,57166
1955,57167
1956,57509
1957,54233
1958,54234
1959,54235
1960,54919
1961,54920
1962,54921
1963,54923
1964,54924
1965,64427
1966,62991
1967,62992
1968,62993
1969,62994
1970,62995
1971,62996
1972,62997
1973,55698
1974,55699
1975,55700
1976,55701
1977,55702
1978,57376
1979,57377
1980,57378
1981,57379
1982,57380
1983,57381
1984,57382
1985,57383
1986,57384
1987,57385
1988,57386
1989,57387
1990,57388
1991,57389
1992,57390
1993,55836
1994,53334
1995,53335
1996,56079
1997,56080
1998,56081
1999,56769
2000,56770
2001,56771
2002,56772
2003,56773
2004,56872
2005,56873
2006,63599
2007,63607
2008,63600
2009,63601
2010,63602
2011,63603
2012,63604
2013,63605
2014,63606
2015,56118
2016,56119
2017,56120
2018,56121
2019,62175
2020,62176
2021,62177
2022,62178
2023,57563
2024,58667
2025,58668
2026,58669
2027,57298
2028,57299
2029,57300
2030,57301
2031,62640
2032,62641
2033,56122
2034,67148
2035,67149
2036,57550
2037,57551
2038,56229
2039,56230
2040,56231
2041,56232
2042,56233
2043,56234
2044,56235
2045,57086
2046,57087
2047,57088
2048,57089
2049,57090
2050,57091
2051,58796
2052,58798
2053,58799
2054,58800
2055,57510
2056,57511
2057,58012
2058,58013
2059,58014
2060,58015
2061,58016
2062,58017
2063,58018
2064,63838
2065,63839
2066,63840
2067,57673
2068,56000
2069,56001
2070,58111
2071,58112
2072,58113
2073,58114
2074,58115
2075,58557
2076,58558
2077,58559
2078,58560
2079,58561
2080,58562
2081,57501
2082,57502
2083,57503
2084,57302
2085,57303
2086,57304
2087,57305
2088,57306
2089,58203
2090,58204
2091,58205
2092,58258
2093,58259
2094,58260
2095,58261
2096,58263
2097,58264
2098,58265
2099,57589
2100,57590
2101,64583
2102,64584
2103,64585
2104,64586
2105,64587
2106,62603
2107,57231
2108,57232
2109,55892
2110,55893
2111,55530
2112,55531
2113,55532
2114,55533
2115,55534
2116,55535
2117,55536
2118,55537
2119,55538
2120,55539
2121,56704
2122,56705
2123,56706
2124,56707
2125,56708
2126,56709
2127,56710
2128,56131
2129,56132
2130,56133
2131,56134
2132,56135
2133,63113
2134,63114
2135,62730
2136,62731
2137,62732
2138,62733
2139,63386
2140,63387
2141,63388
2142,63389
2143,63390
2144,63391
2145,63392
2146,63393
2147,62606
2148,62607
2149,62608
2150,56681
2151,56682
2152,56684
2153,58032
2154,58973
2155,58722
2156,57092
2157,57093
2158,55457
2159,55458
2160,62515
2161,55540
2162,55541
2163,63128
2164,57307
2165,57308
2166,57309
2167,57310
2168,57311
2169,62586
2170,57391
2171,57392
2172,57393
2173,57394
2174,57395
2175,57396
2176,57397
2177,57398
2178,57399
2179,57400
2180,57401
2181,57402
2182,57403
2183,57404
2184,57142
2185,57143
2186,57144
2187,55600
2188,55601
2189,55602
2190,58133
2191,58134
2192,58135
2193,58136
2194,58137
2195,58138
2196,58139
2197,57665
2198,57255
2199,57050
2200,57051
2201,58227
2202,58228
2203,58368
2204,58369
2205,58370
2206,58371
2207,58372
2208,58177
2209,57412
2210,57405
2211,57406
2212,57407
2213,57408
2214,57409
2215,57410
2216,57411
2217,63004
2218,55737
2219,55738
2220,55739
2221,55740
2222,55741
2223,55742
2224,55743
2225,55744
2226,55745
2227,55746
2228,55747
2229,55748
2230,55749
2231,55750
2232,55751
2233,55752
2234,55753
2235,57188
2236,53585
2237,55682
2238,55683
2239,62351
2240,62352
2241,62353
2242,56304
2243,56305
2244,56306
2245,56307
2246,56309
2247,56310
2248,56311
2249,56315
2250,56316
2251,56317
2252,55842
2253,55843
2254,55844
2255,55845
2256,55703
2257,55704
2258,55705
2259,57025
2260,57026
2261,57027
2262,57028
2263,57029
2264,57030
2265,57031
2266,57032
2267,57033
2268,57034
2269,57035
2270,57036
2271,57037
2272,57038
2273,57190
2274,57191
2275,57192
2276,57193
2277,57194
2278,57195
2279,57196
2280,57200
2281,57201
2282,57202
2283,57203
2284,57204
2285,57206
2286,58193
2287,58194
2288,58195
2289,58196
2290,58197
2291,58198
2292,58310
2293,58311
2294,58312
2295,58313
2296,58314
2297,58315
2298,58316
2299,58317
2300,58318
2301,58319
2302,58320
2303,58321
2304,58322
2305,58323
2306,58324
2307,56318
2308,56319
2309,56320
2310,56321
2311,56322
2312,56323
2313,56324
2314,56325
2315,56326
2316,56327
2317,56328
2318,56329
2319,56208
2320,56209
2321,56210
2322,56211
2323,56212
2324,53202
2325,53203
2326,55706
2327,55707
2328,55708
2329,55709
2330,55710
2331,55711
2332,55712
2333,55713
2334,55714
2335,57351
2336,57352
2337,58266
2338,58267
2339,63005
2340,63006
2341,63007
2342,63008
2343,63009
2344,63010
2345,63011
2346,63278
2347,63279
2348,63280
2349,63281
2350,63282
2351,63283
2352,63284
2353,62368
2354,62372
2355,57910
2356,57911
2357,57912
2358,57913
2359,58268
2360,58277
2361,58278
2362,58269
2363,58270
2364,58271
2365,58272
2366,58273
2367,58274
2368,58275
2369,58276
2370,57039
2371,57040
2372,57041
2373,57042
2374,57043
2375,57044
2376,57045
2377,57046
2378,57047
2379,58144
2380,55647
2381,55648
2382,55649
2383,55650
2384,55651
2385,58074
2386,58075
2387,58076
2388,58077
2389,58078
2390,58079
2391,58080
2392,58081
2393,58082
2394,58083
2395,58084
2396,58085
2397,58086
2398,58087
2399,55459
2400,57094
2401,57095
2402,57096
2403,57097
2404,57098
2405,57099
2406,57100
2407,57101
2408,58022
2409,58023
2410,58024
2411,58025
2412,58026
2413,58021
2414,57571
2415,57572
2416,57573
2417,57574
2418,57575
2419,57576
2420,57577
2421,57578
2422,57579
2423,57580
2424,57581
2425,52253
2426,56123
2427,56124
2428,56827
2429,56828
2430,56829
2431,56830
2432,56955
2433,56956
2434,56957
2435,56958
2436,56959
2437,56960
2438,56961
2439,56962
2440,56963
2441,55997
2442,55998
2443,57125
2444,57102
2445,57103
2446,57104
2447,57105
2448,57106
2449,57107
2450,58061
2451,58062
2452,58063
2453,58064
2454,58065
2455,58066
2456,56136
2457,56138
2458,56139
2459,56140
2460,56141
2461,56142
2462,56143
2463,56144
2464,56145
2465,56024
2466,56025
2467,56026
2468,56027
2469,56686
2470,56687
2471,62896
2472,62897
2473,62898
2474,62899
2475,62900
2476,62901
2477,62902
2478,62903
2479,62904
2480,58140
2481,58141
2482,58142
2483,58143
2484,58042
2485,58043
2486,57493
2487,57494
2488,57495
2489,57496
2490,57497
2491,57498
2492,57499
2493,57500
2494,57413
2495,57414
